CATUTTC,Community,IndicatorMeasurement,IndicatorValueTime,IndicatorValue
UA46060350000036006,Пiдберiзцiвська,тис. грн,Q1 2022,39872.39
UA46040110000093394,Пiдкамiнська,тис. грн,Q1 2022,19484.17
UA46040130000035029,Поморянська,тис. грн,Q1 2022,16630.12
UA46060370000065608,Пустомитiвська,тис. грн,Q1 2022,52338.15
UA46060390000035967,Рава-Руська,тис. грн,Q1 2022,55512.39
UA46120090000051307,Радехiвська,тис. грн,Q1 2022,79670.56
UA46080090000029798,Ралiвська,тис. грн,Q1 2022,25444.51
UA46100170000077437,Розвадiвська,тис. грн,Q1 2022,26776.36
UA46080110000050484,Рудкiвська,тис. грн,Q1 2022,47870.29
UA46080130000077112,Самбiрська,тис. грн,Q1 2022,80226.77
UA46100190000081766,Сколiвська,тис. грн,Q1 2022,53826.34
UA46100210000027970,Славська,тис. грн,Q1 2022,92218.3
UA46120110000062257,Сокальська,тис. грн,Q1 2022,98200.53
UA46060410000052681,Сокiльницька,тис. грн,Q1 2022,39381.5
UA46060430000091455,Солонкiвська,тис. грн,Q1 2022,49731.64
UA46080150000050321,Старосамбiрська,тис. грн,Q1 2022,45288.82
UA46100230000047305,Стрийська,тис. грн,Q1 2022,262945.15
UA46080170000064605,Стрiлкiвська,тис. грн,Q1 2022,25561.27
UA46140070000010135,Судововишнянська,тис. грн,Q1 2022,25395.23
UA46020070000056149,Схiдницька,тис. грн,Q1 2022,35780.82
UA46100250000088835,Тростянецька,тис. грн,Q1 2022,25671.6
UA46020090000057315,Трускавецька,тис. грн,Q1 2022,86940.48
UA46080190000096121,Туркiвська,тис. грн,Q1 2022,48059.67
UA46080210000051983,Хирiвська,тис. грн,Q1 2022,28440.07
UA46100270000094052,Ходорiвська,тис. грн,Q1 2022,49685.05
UA46120130000026331,Червоноградська,тис. грн,Q1 2022,165305.49
UA46140090000079730,Шегинiвська,тис. грн,Q1 2022,25727.53
UA46060450000037997,Щирецька,тис. грн,Q1 2022,21643.1
UA46140110000063568,Яворiвська,тис. грн,Q1 2022,129973.81
UA46120010000054878,Белзька,тис. грн,Q2 2022,54069.55
UA46060010000049728,Бiбрська,тис. грн,Q2 2022,72320.9
UA46080010000010628,Бiсковицька,тис. грн,Q2 2022,82367.63
UA46080030000048662,Боринська,тис. грн,Q2 2022,107072.43
UA46020010000073886,Бориславська,тис. грн,Q2 2022,180858.9
UA46040010000033885,Бродiвська,тис. грн,Q2 2022,231594.1
UA46040030000058332,Буська,тис. грн,Q2 2022,145446.64
UA46060030000020652,Великолюбiнська,тис. грн,Q2 2022,40616.37
UA46120030000069375,Великомостiвська,тис. грн,Q2 2022,103600.95
UA46060050000016451,Глинянська,тис. грн,Q2 2022,41971.79
UA46100010000066018,Гнiздичiвська,тис. грн,Q2 2022,30483.17
UA46060070000047720,Городоцька,тис. грн,Q2 2022,192040.99
UA46100030000016064,Грабовецько-Дулiбiвська,тис. грн,Q2 2022,55661.79
UA46060090000017373,Давидiвська,тис. грн,Q2 2022,150607.92
UA46080050000015399,Добромильська,тис. грн,Q2 2022,67980.45
UA46060110000011684,Добросинсько-Магерiвська,тис. грн,Q2 2022,69712.74
UA46120050000027080,Добротвiрська,тис. грн,Q2 2022,59057.08
UA46020030000019252,Дрогобицька,тис. грн,Q2 2022,517146.86
UA46100050000053848,Жидачiвська,тис. грн,Q2 2022,86811.73
UA46060130000059055,Жовкiвська,тис. грн,Q2 2022,167919.77
UA46060150000060045,Жовтанецька,тис. грн,Q2 2022,61618.09
UA46100070000076013,Журавненська,тис. грн,Q2 2022,46691.36
UA46040050000062043,Заболотцiвська,тис. грн,Q2 2022,26207.96
UA46060170000014754,Зимноводiвська,тис. грн,Q2 2022,117451.21
UA46040070000032075,Золочiвська,тис. грн,Q2 2022,256087.82
UA46140010000081849,Івано-Франківська,тис. грн,Q2 2022,122045.46
UA46060190000038354,Кам'янка-Бузька,тис. грн,Q2 2022,119958.34
UA46100090000076723,Козiвська,тис. грн,Q2 2022,66417.4
UA46060210000047788,Комарнiвська,тис. грн,Q2 2022,58445.01
UA46040090000012087,Красненська,тис. грн,Q2 2022,70523.22
UA46060230000093092,Куликiвська,тис. грн,Q2 2022,56480.66
UA46120070000071541,Лопатинська,тис. грн,Q2 2022,47032.39
UA46060250000025047,Львiвська,тис. грн,Q2 2022,6380499.45
UA46020050000037271,Меденицька,тис. грн,Q2 2022,92268.58
UA46100110000018989,Миколаївська,тис. грн,Q2 2022,169957.81
UA46100130000048262,Моршинська,тис. грн,Q2 2022,69552.15
UA46140030000023506,Мостиська,тис. грн,Q2 2022,147003.99
UA46060270000027170,Мурованська,тис. грн,Q2 2022,56712.19
UA46080070000035761,Новокалинiвська,тис. грн,Q2 2022,78188.56
UA46100150000087495,Новороздiльська,тис. грн,Q2 2022,125156.2
UA46140050000054478,Новояворiвська,тис. грн,Q2 2022,415069.85
UA46060290000052876,Новояричiвська,тис. грн,Q2 2022,84617.86
UA46060310000086550,Оброшинська,тис. грн,Q2 2022,38609.86
UA46060330000065074,Перемишлянська,тис. грн,Q2 2022,112794.68
UA46060350000036006,Пiдберiзцiвська,тис. грн,Q2 2022,64663.41
UA46040110000093394,Пiдкамiнська,тис. грн,Q2 2022,41742.39
UA46040130000035029,Поморянська,тис. грн,Q2 2022,30173.32
UA46060370000065608,Пустомитiвська,тис. грн,Q2 2022,114525.08
UA46060390000035967,Рава-Руська,тис. грн,Q2 2022,121327.68
UA46120090000051307,Радехiвська,тис. грн,Q2 2022,166818.17
UA46080090000029798,Ралiвська,тис. грн,Q2 2022,57990.26
UA46100170000077437,Розвадiвська,тис. грн,Q2 2022,54637.25
UA46080110000050484,Рудкiвська,тис. грн,Q2 2022,101908.32
